trl,alpha1_opt,alpha2_opt,alpha3_opt
1,0.075135892680275,0.300807245557236,0.281417622799029
2,0.114352751658642,0.462959996139964,0.16154181180914
3,0.142097915045407,0.5867114661606,0.118153671096568
4,0.157162719107267,0.674301537333763,0.0964861459521593
5,0.16438158049552,0.742443447874471,0.0846081113944781
6,0.164404897697991,0.791081161377335,0.0764996965250108
7,0.156189102183613,0.837679929715665,0.0712767327613952
8,0.152508658124586,0.884858286152725,0.066713076724485
9,0.152537256480392,0.922751998569366,0.062538721743904
10,0.151145571306656,0.954600422985273,0.0593175513171054
11,0.143509292462968,0.982603327819009,0.056755395433727
12,0.132324510411109,1.01958541683718,0.0546594454981822
13,0.172993138062569,1.06247904695904,0.0534852282831721
14,0.195409121544951,1.00888799371124,0.0523440006370364
15,0.170997964093499,0.992753690490226,0.0538003942163832
16,0.151756872264113,1.00343320919222,0.0537600725934291
17,0.14278542508712,1.02972997774089,0.0525512964211327
18,0.160940897240574,1.05461815295381,0.0509146715648841
19,0.167172229572631,1.0344592594729,0.0494659724775866
20,0.16416616290887,1.03726645496529,0.0495952152105411
21,0.159711256708674,1.02761530094596,0.0488380465734866
22,0.144081232462628,1.03642927098743,0.0486331165256394
23,0.142915053141368,1.06082416564228,0.0477539058448638
24,0.145095175556333,1.06826166644123,0.0463067434961641
25,0.136868452296646,1.07995584409662,0.0455422601273485
26,0.127427482059726,1.10190921298517,0.0446969563633769
27,0.173049862951311,1.1306489692121,0.0444812096946955
28,0.196660022028446,1.05100575421183,0.0441777483377014
29,0.169101817255195,1.01988352766945,0.0464379869662858
30,0.15431158331982,1.0207713710274,0.0470721059586391
31,0.142991226535896,1.02772113537327,0.0465084185172743
32,0.131328820137749,1.0503505979978,0.0457907210722292
33,0.126223575265108,1.079303018216,0.0445350292669785
34,0.130699237436833,1.10647455048988,0.0431412658557543
35,0.133105421347264,1.11715241908661,0.0418862534495171
36,0.12465231246045,1.13110776114628,0.0412196531222988
37,0.115548675845394,1.15739049416788,0.0405079846447496
38,0.111507180446516,1.18872531236254,0.039466500139694
39,0.127770711497925,1.21820345482495,0.0384293066902851
40,0.135853523095218,1.20150946612567,0.0374979122445281
41,0.148438825413626,1.20412179859132,0.0378037897279544
42,0.153998979989443,1.16126156348042,0.037589479005226
43,0.141082850288037,1.1482499718237,0.0384952851097808
44,0.156524547111746,1.1454929275144,0.0386938677650482
45,0.158566755061136,1.10068361225682,0.0386213513119475
46,0.143409345845085,1.09157544553796,0.0396598661918918
47,0.185430678232674,1.09138612506061,0.0403351074044464
48,0.198188076213803,1.00338920322933,0.0408652678341369
49,0.174687663452645,0.972044928471402,0.0434445123302781
50,0.158226905414088,0.957235829397416,0.0441478754695134
