__lmer_samples__,expected,rel_pupil,rts,subID
30,expected,0.11419924445543642,-0.16747769667472312,47
30,expected,0.1809869990398021,-212.16747769667472,47
30,expected,0.01186815078085166,5.832522303325277,47
30,unexpected,0.019628232433407833,33.83252230332528,47
30,expected,-0.07652651482227082,-1.1674776966747231,47
30,expected,0.10055710554519229,-171.16747769667472,47
30,expected,0.10935048237001226,-53.16747769667472,47
30,unexpected,0.06986069536590733,-174.16747769667472,47
30,unexpected,0.06307121594863715,-98.16747769667472,47
30,expected,-0.04327484555622987,38.83252230332528,47
30,expected,0.081789059251454,246.83252230332528,47
30,expected,0.1490475009779268,247.83252230332528,47
30,unexpected,0.14769007641018406,386.8325223033253,47
30,expected,0.04616547886589091,42.83252230332528,47
30,expected,-0.06652649047277755,186.83252230332528,47
30,expected,0.13854816988386287,52.83252230332528,47
30,expected,-0.020446615364289312,-110.16747769667472,47
30,expected,0.0023120532677699313,-31.167477696674723,47
30,expected,0.18169319013984775,192.83252230332528,47
30,unexpected,0.07896971049450992,229.83252230332528,47
30,expected,0.09592117359065955,-110.16747769667472,47
30,expected,-0.058772269513266015,-157.16747769667472,47
30,expected,0.1694199207423817,205.83252230332528,47
30,expected,0.0693122452517216,-176.16747769667472,47
30,unexpected,-0.0039630309638256644,-11.167477696674723,47
30,expected,0.16050234558746998,-209.16747769667472,47
30,unexpected,0.07927050071925623,-13.167477696674723,47
30,expected,0.03726760276736032,30.832522303325277,47
30,expected,0.042884759299700856,198.83252230332528,47
30,unexpected,0.07315828822618893,-37.16747769667472,47
30,expected,0.12430892924385226,-94.16747769667472,47
30,expected,0.1298972902042749,208.83252230332528,47
30,unexpected,0.19188717791930357,-97.16747769667472,47
30,expected,0.12350487842562771,-172.16747769667472,47
30,expected,0.09406044768000141,165.83252230332528,47
30,expected,-0.06363780458444297,-211.16747769667472,47
30,unexpected,0.16036534122612198,-146.16747769667472,47
30,expected,0.1286655282566314,317.8325223033253,47
30,expected,0.018094350213385013,-130.16747769667472,47
30,expected,0.05639799234401135,27.832522303325277,47
30,expected,-0.033189742313664006,-183.16747769667472,47
30,expected,0.18716852618889734,-159.16747769667472,47
30,expected,0.05603690917042603,-58.16747769667472,47
30,expected,0.07471305086581363,-67.16747769667472,47
30,expected,0.05073119401556112,19.832522303325277,47
30,unexpected,0.12257637889926118,68.83252230332528,47
30,expected,0.07954967180426724,1081.8325223033253,47
30,expected,-0.025381804758543635,-16.167477696674723,47
30,expected,0.011463000476965978,24.832522303325277,47
30,expected,-0.004415375122960663,-186.16747769667472,47
30,expected,0.018052596321014747,-123.16747769667472,47
30,expected,0.0356202997463134,-99.16747769667472,47
30,expected,0.1281740602427123,74.83252230332528,47
30,expected,-0.11190046555967803,-45.16747769667472,47
30,expected,0.011577056887422544,-22.167477696674723,47
30,expected,0.05665182401837541,13.832522303325277,47
30,expected,0.12159738840358507,-13.167477696674723,47
30,expected,-0.04052897253674583,-110.16747769667472,47
30,unexpected,0.09225069052946928,33.83252230332528,47
30,expected,0.19994064218069832,-1.1674776966747231,47
30,unexpected,0.030680284656365363,-40.16747769667472,47
30,expected,0.06246674087659043,37.83252230332528,47
30,expected,-0.021034714335758986,-80.16747769667472,47
30,unexpected,0.21244196304871704,-83.16747769667472,47
