trl,alpha1_opt,alpha2_opt,alpha3_opt
1,0.0478621717550558,0.267978206616943,0.270048685577439
2,0.110466879012954,0.406921074122471,0.158327625451135
3,0.0389307008170406,0.516389929586097,0.116092396897549
4,0.162109318936944,0.596969401720542,0.094405596872582
5,0.0508698681986854,0.65993813479219,0.0822502515249117
6,0.176544683227258,0.705826904247864,0.0739897067952645
7,0.169221524118846,0.747682779931604,0.0686084625210367
8,0.0544013409407209,0.788474061083281,0.0640619677557993
9,0.0552308701737662,0.821284814193573,0.0599865014493736
10,0.0554855123691067,0.848730363748898,0.056807069026277
11,0.157182715254092,0.872651382109448,0.0542596570690399
12,0.144282132449975,0.903263767925822,0.0521648727935382
13,0.179354955705565,0.938510157390067,0.0504977221533639
14,0.154126096037859,0.905739274285535,0.0491898699029616
15,0.18555759409245,0.897090184648349,0.0498274269889175
16,0.163798804235481,0.907375255317225,0.0494502794694481
17,0.0535698222602964,0.929361491568616,0.0482226429922182
18,0.0675053403950896,0.950205124399518,0.0466746248055652
19,0.135539435517333,0.936823011753616,0.0452966226230677
20,0.0198440115595854,0.940127743023885,0.0451514695108101
21,0.130124989976989,0.933621147406425,0.0443527004712703
22,0.155511317721265,0.94107279338333,0.0439999018903257
23,0.0147029553241692,0.960834625686412,0.0431345778436972
24,0.0547291950592138,0.96747686785303,0.0418184155297934
25,0.112504406731349,0.977378637951159,0.041040486684478
26,0.104964678404426,0.995417007976056,0.0402056660034253
27,0.177079832737696,1.01900681868989,0.0394782803082363
28,0.156852871123429,0.961554000132554,0.0390153049128835
29,0.182968668077258,0.938311965367488,0.040468259450926
30,0.0568292448006406,0.939190517413162,0.0407900665860152
31,0.152915069736659,0.944895832608017,0.0402450156669961
32,0.107060387658286,0.963149107141501,0.0395814018528967
33,0.048473283687304,0.986743301442901,0.0385055815534038
34,0.0114519267776768,1.00919089142213,0.0373129431434297
35,0.0509123614826925,1.01872221874919,0.0362193510617617
36,0.131955004957494,1.03078446724719,0.0355712625406937
37,0.0946414942820195,1.05269543190983,0.0348928087878174
38,0.0438741573633618,1.07881114969739,0.0339639878311092
39,0.0394395150913044,1.10357870614229,0.0330319180229112
40,0.111097642264397,1.09205053465996,0.0321844254814254
41,0.051309634713798,1.09519071503543,0.0322677707959446
42,0.125816217482317,1.06261641330404,0.0319798716995201
43,0.0538578241007032,1.05260999531597,0.0325253463119328
44,0.0586598052334337,1.05059506049361,0.0325632888154796
45,0.171423608999851,1.01529148969309,0.0324078846412224
46,0.0543822651779945,1.00761860483268,0.0330696711814523
47,0.194820372474371,1.00718147633924,0.0332131131089316
48,0.220466956757401,0.936526818998804,0.0334501924200929
49,0.0622340734869452,0.909604720392216,0.0352224422435585
50,0.171804177298523,0.896165857761019,0.035706149752453
51,0.0183495285917954,0.901493201270282,0.0357847810700195
52,0.0565627014648592,0.897795394791339,0.0352128470036508
53,0.0548022620457048,0.899874145671661,0.0349470562409961
54,0.113843398088404,0.906005214761292,0.0345184683503913
55,0.137025792033409,0.920396882485146,0.0340007594134542
56,0.0979478090309592,0.943026668734468,0.0332561166652126
57,0.0930534498453737,0.968935345564196,0.0323017847962709
58,0.0887578222204121,0.997263790250707,0.0313145000605429
59,0.0849263997948229,1.02741842447442,0.0303263223769616
60,0.148730635428099,1.05897932177027,0.0295241533821863
61,0.143958577704531,1.00113218505352,0.0290374019109773
62,0.164924990521801,0.975893873815503,0.0302351108597751
63,0.052903916036639,0.973548505641557,0.03065420937196
64,0.13807743499468,0.976671702116649,0.0304683005130656
65,0.0471683641896486,0.991677169979631,0.0301531721164483
66,0.0462612836411419,1.00752024613357,0.0295328334662291
67,0.0934038935911885,1.02403370492692,0.0289235940701756
68,0.0882194459028906,1.04550544441416,0.0283318778690136
69,0.0838333209337988,1.0705502226716,0.0276547227187579
70,0.101005739997454,1.09823075676649,0.026936604447852
71,0.0949717761787717,1.12970265327432,0.0262057417210681
72,0.0357225815427711,1.16395200530345,0.025439271514495
73,0.00484590980886985,1.19555253391915,0.0246638700519652
74,0.00547532377112867,1.21610847214773,0.0239798183129462
75,0.0403838213521069,1.2265096488952,0.023514875091483
76,0.0057880521082057,1.23900374188166,0.0232357616721004
77,0.0416737758440457,1.24220820047097,0.0229278037374019
78,0.00606075051540567,1.24911345775161,0.0227775195238444
79,0.00680043495172994,1.247386068801,0.022569887868728
80,0.0907409340462265,1.23805670096514,0.0225010484298819
81,0.00649244783222537,1.24043310269094,0.0225567196680485
82,0.00727753272368943,1.23475325732396,0.0224229129912444
83,0.0081444960537166,1.22206130874185,0.0224165077606703
84,0.00910114061195881,1.20340988503996,0.0225210664726719
