population-level,bf.log,priors
diagnosis,-2.8551,chosen
diagnosis,-4.7780,sdx2
diagnosis,-6.8169,sdx4
diagnosis,-8.8861,sdx8
diagnosis,-1.2679,sdx0.5
diagnosis,-0.3100,sdx0.25
diagnosis,0.0561,sdx0.125
